818,600.1,232,17,1740
899,600.1,394,183,1740
933,600.1,462,293,1740
811,600.1,218,105,1740
813,600.1,222,143,1740
822,600.1,240,429,1740
826,600.1,248,595,1740
835,600.1,266,597,1740
850,600.1,296,3,1740
889,600.1,374,29,1740
908,600.1,412,47,1740
947,600.1,490,79,1740
770,600.1,136,81,1740
806,600.1,208,111,1740
807,600.1,210,113,1740
848,600.1,292,123,1740
941,600.1,478,125,1740
222,600.1,445,17,870
795,600.1,186,183,1740
794,600.1,184,293,1740
797,600.1,190,145,1740
872,600.1,340,277,1740
562,600.1,525,105,1740
262,600.1,525,595,870
943,600.1,482,143,1740
801,600.1,198,429,1740
968,600.1,532,597,1740
781,600.1,158,183,1740
870,600.1,336,293,1740
846,600.1,288,17,1740
796,600.1,188,595,1740
935,600.1,466,105,1740
245,600.1,491,143,870
545,600.1,491,407,1740
34,600.1,69,205,870
334,600.1,69,93,870
756,600.1,108,151,1740
784,600.1,164,231,1740
785,600.1,166,233,1740
798,600.1,192,299,1740
808,600.1,212,473,1740
834,600.1,264,479,1740
845,600.1,286,587,1740
893,600.1,382,27,1740
896,600.1,388,99,1740
905,600.1,406,117,1740
912,600.1,420,133,1740
919,600.1,434,155,1740
920,600.1,436,167,1740
922,600.1,440,173,1740
937,600.1,470,189,1740
940,600.1,476,203,1740
989,600.1,574,229,1740
992,600.1,580,251,1740
997,600.1,590,255,1740
1039,600.1,74,305,1740
739,600.1,74,333,1740
752,600.1,100,363,1740
761,600.1,118,375,1740
766,600.1,128,457,1740
772,600.1,140,463,1740
788,600.1,172,537,1740
825,600.1,246,539,1740
828,600.1,252,581,1740
849,600.1,294,333,1740
854,600.1,304,3,1740
858,600.1,312,29,1740
859,600.1,314,47,1740
875,600.1,346,79,1740
885,600.1,366,81,1740
891,600.1,378,111,1740
916,600.1,428,113,1740
923,600.1,442,123,1740
932,600.1,460,125,1740
956,600.1,508,93,1740
958,600.1,512,407,1740
959,600.1,514,145,1740
980,600.1,556,277,1740
995,600.1,586,429,1740
996,600.1,588,597,1740
879,600.1,354,183,1740
755,600.1,106,293,1740
757,600.1,110,17,1740
762,600.1,120,595,1740
847,600.1,290,105,1740
936,600.1,468,72,1740
982,600.1,560,260,1740
759,600.1,114,0,1740
1008,600.1,12,20,1740
708,600.1,12,80,1740
768,600.1,132,168,1740
921,600.1,438,306,1740
976,600.1,548,594,1740
376,600.1,153,205,1740
579,600.1,559,143,1740
584,600.1,569,173,1740
284,600.1,569,107,870
363,600.1,127,429,1740
63,600.1,127,80,870
525,600.1,451,597,1740
225,600.1,451,571,870
843,600.1,282,183,1740
900,600.1,396,293,1740
953,600.1,502,17,1740
955,600.1,506,595,1740
844,600.1,284,105,1740
902,600.1,400,123,1740
969,600.1,534,473,1740
898,600.1,392,133,1740
918,600.1,432,151,1740
971,600.1,538,155,1740
780,600.1,156,27,1740
888,600.1,372,99,1740
167,600.1,335,233,870
24,600.1,49,299,870
324,600.1,49,217,870
265,600.1,531,117,870
565,600.1,531,9,1740
258,600.1,517,167,870
558,600.1,517,39,1740
255,600.1,511,189,870
555,600.1,511,41,1740
224,600.1,449,203,870
524,600.1,449,43,1740
259,600.1,519,229,870
559,600.1,519,59,1740
171,600.1,343,231,870
471,600.1,343,80,1740
705,600.1,6,80,1740
1005,600.1,6,251,1740
767,600.1,130,305,1740
810,600.1,216,479,1740
975,600.1,546,587,1740
1047,600.1,90,255,1740
747,600.1,90,1,1740
764,600.1,124,363,1740
837,600.1,270,375,1740
857,600.1,310,457,1740
733,600.1,62,463,1740
1033,600.1,62,537,1740
790,600.1,176,581,1740
894,600.1,384,539,1740
964,600.1,524,333,1740
967,600.1,530,3,1740
1037,600.1,70,29,1740
737,600.1,70,47,1740
1027,600.1,50,79,1740
774,600.1,144,113,1740
775,600.1,146,81,1740
793,600.1,182,111,1740
852,600.1,300,125,1740
965,600.1,526,93,1740
836,600.1,268,407,1740
924,600.1,444,145,1740
715,600.1,26,277,1740
1015,600.1,26,55,1740
831,600.1,258,251,1740
581,600.1,563,183,1740
281,600.1,563,7,870
979,600.1,554,463,1740
18,600.1,37,293,870
159,600.1,319,17,870
459,600.1,319,67,1740
280,600.1,561,105,870
580,600.1,561,283,1740
482,600.1,365,123,1740
370,600.1,141,537,1740
619,600.1,141,47,1740
